,ax,ay,az,gx,gy,gz,x,y,z
0,0.4974188208580017,-0.640535831451416,0.10471975803375244,0.5393657088279724,-9.63012981414795,1.8044235706329346,0.0,0.0,0.0
1,0.6579891443252563,-0.9058258533477783,0.3176499307155609,1.2258312702178955,-9.228057861328125,3.0792880058288574,0.0,0.0,0.0
2,0.4450589418411255,-0.09424778074026108,-0.15184363722801208,0.6864655017852783,-8.178746223449707,4.128599643707275,0.4974188208580017,-0.640535831451416,0.10471975803375244
3,0.04712389037013054,0.29845130443573,-0.09773843735456467,1.667130470275879,-8.423912048339844,5.815343379974365,1.6528267860412598,-2.1868975162506104,0.5270894467830658
4,-0.7557275891304016,-1.1065387725830078,1.0471975803375244,2.1574628353118896,-9.080957412719727,3.746140241622925,3.2532936930656433,-3.8275069817900658,0.7976154983043671
5,-0.04188790172338486,0.18675023317337036,-0.28099802136421204,0.6962721347808838,-7.85512638092041,4.363959312438965,4.900884490460157,-5.169665142893791,0.9704031124711037
6,-0.21642082929611206,0.006981316953897476,0.1727875918149948,1.7553902864456177,-9.404577255249023,4.815064907073975,5.79274769872427,-7.6183620765805244,2.1903883069753647
7,-0.07679449021816254,-0.3263765573501587,-0.005235987715423107,0.7354987263679504,-8.894631385803223,3.8834333419799805,6.6427230052649975,-9.880308777093887,3.1293754801154137
8,-0.027925267815589905,-0.5550146698951721,0.02617993950843811,0.8531785011291504,-9.13979721069336,3.667686939239502,7.276277482509613,-12.135274160653353,4.2411502450704575
9,-0.012217304669320583,-1.235693097114563,0.30194196105003357,1.9221034049987793,-9.316317558288574,2.7752819061279297,7.833037469536066,-14.716616101562977,5.347689022310078
